"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000009,549.616,2,1,2,1,1,1,1,250,-1.8419,-0.9031,-2.0633,6.41784661957132,13.7752399524082,66,1,13,0,1,84007486
84000009,626.371,2,1,1,1,2,1,2,55,-1.0761,0.0708,-0.8276,6.40797119926115,13.7603827998676,66,1,13,0,1,84009206
84000009,415.091,2,1,2,2,3,4,4,50,-0.3381,-0.2113,-0.7677,6.42716154880546,13.8060726390581,66,1,13,0,1,84010273
84000009,405.14,1,1,2,1,3,1,1,250,-0.3381,-1.7013,-2.4807,6.41623146078609,13.7705334569283,66,1,13,0,1,84010374
84000011,499.305,2,1,2,2,3,4,4,560,-0.3381,-0.7743,-0.8093,16,10,54,1,33,0,1,84000990
84000011,602.113,2,1,2,1,4,4,4,250,0.6642,-1.2558,-1.1957,16,10,54,1,33,0,1,84001506
84000011,389.183,2,1,2,1,3,0,0,45,-0.6239,-1.2693,-3.0459,16,10,54,1,33,0,1,84001843
84000011,504.147,2,1,1,3,3,2,2,275,-0.6837,1.2208,0.0334,16,10,54,1,33,0,1,84004525
84000011,487.753,2,1.39525070133659,1.37287645129938,3.54137946689522,1.84080767020505,2.88007472844268,3.52358654241649,258.981817881312,-1.18894444571181,-0.666327359075955,-0.294554158712971,16,10,54,1,33,0,1,84005689
84000011,415.368,2,1,2,3,4,5,5,245,1.5611,-1.5682,-1.1052,16,10,54,1,33,0,1,84005768
84000011,435.867,2,1,1,4,3,2,4,225,-0.4725,0.0925,-0.9247,16,10,54,1,33,0,1,84009301
84000011,543.708,2,1,1,3,4,0,0,50,0.6642,0.1716,-2.1787,16,10,54,1,33,0,1,84009531
84000011,557.24,2,1,2,4,3,4,4,275,-0.5064,0.2425,-0.043,16,10,54,1,33,0,1,84010674
84000011,521.17,2,1,1,1,4,3.67403778358272,4.80422148297983,225,0.6642,-0.2927,-0.444329633569103,16,10,54,1,33,0,1,84011079
84000011,421.826,1,1,2,2,3,0,2,45,-0.3381,-0.8425,-1.5514,16,10,54,1,33,0,1,84000070
84000011,432.752,1,1,2,1,2,4,4,225,-1.1247,-0.9059,-0.6717,16,10,54,1,33,0,1,84000523
84000011,504.044,1,1,1,2,1,6,6,225,-1.3161,0.144,0.7183,16,10,54,1,33,0,1,84001093
84000011,359.238,1,1,1,5,4,6,6,154.44147013935,2.5915,2.7615,1.7216,16,10,54,1,33,0,1,84001251
84000011,628.292,1,1,1,5,1,6,6,225,-0.5174,1.2777,1.2589,16,10,54,1,33,0,1,84001520
84000011,635.299,1,1,1,6,2,6,6,225,-0.7989,1.3145,1.2725,16,10,54,1,33,0,1,84003374
84000011,593.053,1,1,1,4,3,6,6,225,-0.3381,0.8883,1.2191,16,10,54,1,33,0,1,84005418
