"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,43,2,33,0,399.748,84009324,84000007
1,2,1,2,3,3,2,2,60,-0.1613,-0.8401,-1.0752,9,12,43,2,33,0,339.491,84009592,84000007
1,2,2,2,3,2,2,4,275,-0.7911,-0.5772,-0.365,9,12,43,2,33,0,426.859,84010007,84000007
1,2,2,2,1,3,6,6,420,-0.3381,-0.8823,-0.568,9,12,43,2,33,0,353.36,84010048,84000007
1,2,1,2,3,3,4,4,70,0.0979,-0.8503,-0.5893,9,12,43,2,33,0,318.47,84011035,84000007
1,2,1,1,2,3,6,6,275,0.3791,0.3748,0.8031,9,12,43,2,33,0,301.199,84011042,84000007
1,1,1,2,1,3,4,4,300,-0.6837,0.2779,0.1973,9,12,43,2,33,0,396.039,84000074,84000007
1,1,1,2,2,4,5,5,300,-0.0621,-0.9296,0.08,9,12,43,2,33,0,415.97,84000527,84000007
1,1,1,1,3,4,2,2,275,0.2906,1.4064,-0.7249,9,12,43,2,33,0,434.418,84001399,84000007
1,1,1,2,4,3,6,6,300,-0.0099,0.7923,1.1012,9,12,43,2,33,0,373.029,84002659,84000007
1,1,2,2,1,4,2,5,150,0.4906,-1.3158,-1.0125,9,12,43,2,33,0,316.878,84003764,84000007
1,1,1,2,2,4,4,4,300,0.6642,-0.5093,-1.0012,9,12,43,2,33,0,338.692,84005639,84000007
1,1,2,2,1,2,0,4,350,-0.8828,-0.6527,-1.0539,9,12,43,2,33,0,561.551,84005928,84000007
1,1,1,1,6,4,5,6,275,1.5611,5.2563,2.5971,9,12,43,2,33,0,509.165,84006387,84000007
1,1,1,2,2,3,2,2,275,-0.5064,-0.0295,-1.2526,9,12,43,2,33,0,300.901,84006571,84000007
1,1,1,1,6,1,6,6,275,-1.3612,2.0032,1.6702,9,12,43,2,33,0,493.185,84007870,84000007
1,1,1,1,4,3,6,6,275,-0.3381,0.3769,0.7832,9,12,43,2,33,0,579.663,84008749,84000007
1,1,1,2,2,3,4,4,300,-0.3381,0.9682,-0.2775,9,12,43,2,33,0,416.385,84009272,84000007
1,1,1,1,3,3,6,6,55,0.0248,0.8843,0.4945,9,12,43,2,33,0,491.783,84009775,84000007
1,1,1,1,4,3,6,6,300,-0.6334,0.6919,0.961,9,12,43,2,33,0,490.059,84010673,84000007
1,1,1,2,3,2,2,6,175,-0.2953,-0.0363,0.4041,9,12,43,2,33,0,309.795,84011126,84000007
1,1,1,1,3,3,4,4,240,-0.3381,0.7037,0.705,NA,11,63,1,13,0,489.786,84002012,84000008
1,1,1,1,4,3,6,6,240,-0.3381,0.807,1.1066,NA,11,63,1,13,0,632.483,84005332,84000008
1,1,1,1,3,4,6,6,220,1.5611,1.2555,1.4781,NA,11,63,1,13,0,512.947,84008188,84000008
1,1,1,2,3,2,2,4,240,-0.6981,0.5585,-0.4228,NA,11,63,1,13,0,453.52,84009522,84000008
1,1,1,2,3,2,2,4,240,-1.3432,0.5148,-0.2323,NA,11,63,1,13,0,437.589,84010559,84000008
1,2,1,2,5,3,5,5,200,-0.3381,0.1674,-0.1781,NA,11,63,1,13,0,589.377,84006406,84000008
1,2,1,1,5,4,6,6,240,0.7934,0.0857,0.3456,NA,11,63,1,13,0,596.424,84007300,84000008
1,2,1,2,2,4,5,6,240,-0.2387,-0.3623,0.6769,NA,11,63,1,13,0,508.893,84007573,84000008
1,2,1,2,2,3,4,4,240,0.2947,0.7268,0.1143,NA,11,63,1,13,0,588.664,84010038,84000008
1,1,1,1,3,3,5,5,0,-0.3381,-0.3582,0.166,NA,NA,66,1,13,0,412.479,84005193,84000009
1,1,2,2,3,4,2,4,250,-0.2387,-1.2395,-0.691,NA,NA,66,1,13,0,350.187,84010926,84000009
1,2,1,2,1,4,5,5,45,1.5611,-0.9747,-0.3086,NA,NA,66,1,13,0,508.477,84004271,84000009
1,2,1,2,2,3,1,2,0,0.514,-0.7221,-1.5691,NA,NA,66,1,13,0,432.11,84000188,84000009
1,1,1,2,3,3,4,4,50,0.514,-1.0816,-1.1089,NA,NA,66,1,13,0,571.865,84000991,84000009
1,1,2,2,3,3,5,5,225,-1.3147,-0.7682,-0.4806,NA,NA,66,1,13,0,416.027,84003646,84000009
1,2,1,2,1,1,1,1,250,-1.8419,-0.9031,-2.0633,NA,NA,66,1,13,0,549.616,84007486,84000009
1,2,1,1,1,2,1,2,55,-1.0761,0.0708,-0.8276,NA,NA,66,1,13,0,626.371,84009206,84000009
1,2,1,2,2,3,4,4,50,-0.3381,-0.2113,-0.7677,NA,NA,66,1,13,0,415.091,84010273,84000009
1,1,1,2,1,3,1,1,250,-0.3381,-1.7013,-2.4807,NA,NA,66,1,13,0,405.14,84010374,84000009
1,2,1,2,2,3,4,4,560,-0.3381,-0.7743,-0.8093,16,10,54,1,33,0,499.305,84000990,84000011
1,2,1,2,1,4,4,4,250,0.6642,-1.2558,-1.1957,16,10,54,1,33,0,602.113,84001506,84000011
1,2,1,2,1,3,0,0,45,-0.6239,-1.2693,-3.0459,16,10,54,1,33,0,389.183,84001843,84000011
1,2,1,1,3,3,2,2,275,-0.6837,1.2208,0.0334,16,10,54,1,33,0,504.147,84004525,84000011
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10,54,1,33,0,487.753,84005689,84000011
1,2,1,2,3,4,5,5,245,1.5611,-1.5682,-1.1052,16,10,54,1,33,0,415.368,84005768,84000011
1,2,1,1,4,3,2,4,225,-0.4725,0.0925,-0.9247,16,10,54,1,33,0,435.867,84009301,84000011
1,2,1,1,3,4,0,0,50,0.6642,0.1716,-2.1787,16,10,54,1,33,0,543.708,84009531,84000011
1,2,1,2,4,3,4,4,275,-0.5064,0.2425,-0.043,16,10,54,1,33,0,557.24,84010674,84000011
1,2,1,1,1,4,NA,NA,225,0.6642,-0.2927,NA,16,10,54,1,33,0,521.17,84011079,84000011
1,1,1,2,2,3,0,2,45,-0.3381,-0.8425,-1.5514,16,10,54,1,33,0,421.826,84000070,84000011
1,1,1,2,1,2,4,4,225,-1.1247,-0.9059,-0.6717,16,10,54,1,33,0,432.752,84000523,84000011
1,1,1,1,2,1,6,6,225,-1.3161,0.144,0.7183,16,10,54,1,33,0,504.044,84001093,84000011
1,1,1,1,5,4,6,6,NA,2.5915,2.7615,1.7216,16,10,54,1,33,0,359.238,84001251,84000011
1,1,1,1,5,1,6,6,225,-0.5174,1.2777,1.2589,16,10,54,1,33,0,628.292,84001520,84000011
1,1,1,1,6,2,6,6,225,-0.7989,1.3145,1.2725,16,10,54,1,33,0,635.299,84003374,84000011
1,1,1,1,4,3,6,6,225,-0.3381,0.8883,1.2191,16,10,54,1,33,0,593.053,84005418,84000011
1,1,1,1,6,4,6,6,225,0.6642,1.8519,1.2013,16,10,54,1,33,0,501.997,84005491,84000011
1,1,1,2,5,3,4,4,45,1.0676,-0.1981,-0.8249,16,10,54,1,33,0,427.718,84006086,84000011
1,1,1,2,1,3,5,5,NA,0.0371,-0.8521,-0.6354,16,10,54,1,33,0,261.231,84007307,84000011
1,1,1,NA,3,2,1,1,275,-0.654,0.3472,-1.0253,16,10,54,1,33,0,464.099,84007512,84000011
1,1,1,1,5,3,6,6,225,-0.3381,2.0288,1.6589,16,10,54,1,33,0,536.007,84008263,84000011
1,1,1,1,5,3,6,6,225,-0.3381,0.385,0.8275,16,10,54,1,33,0,645.169,84010564,84000011
1,1,NA,1,5,3,5,5,45,-0.4395,0.5124,0.3206,16,10,54,1,33,0,583.646,84010943,84000011
1,1,1,2,4,3,6,6,225,-0.4953,0.9137,1.3731,16,10,54,1,33,0,603.981,84011269,84000011
1,1,1,2,3,2,4,4,200,-0.6981,0.2245,0.0278,16,10,54,1,33,0,411.556,84002936,84000011
1,1,1,2,2,2,4,4,225,-1.1407,-0.7357,-1.2497,16,10,54,1,33,0,423.803,84004929,84000011
1,2,1,2,1,3,4,4,225,-0.1613,-0.4571,-0.2588,16,10,54,1,33,0,548.964,84006446,84000011
1,2,1,1,3,3,5,6,400,-0.3381,0.5771,-0.0317,16,10,54,1,33,0,446.913,84008815,84000011
